index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-registration-district-wls",registration-district,name,name-cy,start-date,end-date
41,41,2017-11-29T13:43:27Z,W20000035,W20000035,,"The Vale of Glamorgan","Bro Morgannwg",2009-01-01,2012-12-31
40,40,2017-11-29T13:43:27Z,W20000033,W20000033,,Ystradgynlais,Ystradgynlais,2009-01-01,2009-03-31
39,39,2017-11-29T13:43:27Z,W20000032,W20000032,,"Welshpool and Llanfyllin","Trallwng a Llanfylin",2009-01-01,2009-03-31
38,38,2017-11-29T13:43:27Z,W20000031,W20000031,,"Radnorshire East","Dwyrain Sir Maesyfed",2009-01-01,2009-03-31
37,37,2017-11-29T13:43:27Z,W20000030,W20000030,,Newtown,Drenewydd,2009-01-01,2009-03-31
36,36,2017-11-29T13:43:27Z,W20000029,W20000029,,Machynlleth,Machynlleth,2009-01-01,2009-03-31
35,35,2017-11-29T13:43:27Z,W20000028,W20000028,,Hay,"Y Gelli",2009-01-01,2009-03-31
34,34,2017-11-29T13:43:27Z,W20000027,W20000027,,"Mid Powys","Powys Ganol",2009-01-01,2009-03-31
33,33,2017-11-29T13:43:27Z,W20000026,W20000026,,Brecknock,Brycheiniog,2009-01-01,2009-03-31
32,32,2017-11-29T13:43:27Z,W20000020,W20000020,,Dwyfor,Dwyfor,2009-01-01,2009-07-05
31,31,2017-11-29T13:43:27Z,W20000019,W20000019,,Penllyn,Penllyn,2009-01-01,2009-07-05
30,30,2017-11-29T13:43:27Z,W20000017,W20000017,,"De Meirionnydd","De Meirionnydd",2009-01-01,2009-07-05
29,29,2017-11-29T13:43:27Z,W20000016,W20000016,,Caernarfon,Caernarfon,2009-01-01,2009-07-05
28,28,2017-11-29T13:43:27Z,W20000015,W20000015,,Bangor,Bangor,2009-01-01,2009-07-05
27,27,2017-11-29T13:43:27Z,W20000014,W20000014,,Ardudwy,Ardudwy,2009-01-01,2009-07-05
26,26,2017-11-29T13:43:27Z,W20000007,W20000007,,"Cardiganshire South","De Sir Aberteifi",2009-01-01,2013-03-06
25,25,2017-11-29T13:43:27Z,W20000006,W20000006,,"Cardiganshire North","Gogledd Sir Aberteifi",2009-01-01,2013-03-06
24,24,2017-11-29T13:43:27Z,W20000005,W20000005,,"Cardiganshire Central","Sir Aberteifi Ganol",2009-01-01,2013-03-06
23,23,2017-11-29T13:43:27Z,W20000001,W20000001,804,,,2009-01-01,
22,22,2017-11-29T13:43:27Z,W20000002,W20000002,805,,,2009-01-01,
21,21,2017-11-29T13:43:27Z,W20000003,W20000003,811,,,2009-01-01,
20,20,2017-11-29T13:43:27Z,W20000004,W20000004,813,,,2009-01-01,
19,19,2017-11-29T13:43:27Z,W20000008,W20000008,819,,,2009-01-01,
18,18,2017-11-29T13:43:27Z,W20000009,W20000009,822,,,2009-01-01,
17,17,2017-11-29T13:43:27Z,W20000040,W20000040,823,,,2013-03-07,
16,16,2017-11-29T13:43:27Z,W20000010,W20000010,833,,,2009-01-01,
15,15,2017-11-29T13:43:27Z,W20000011,W20000011,836,,,2009-01-01,
14,14,2017-11-29T13:43:27Z,W20000012,W20000012,837,,,2009-01-01,
13,13,2017-11-29T13:43:27Z,W20000013,W20000013,839,,,2009-01-01,
12,12,2017-11-29T13:43:27Z,W20000018,W20000018,846,,,2009-01-01,
11,11,2017-11-29T13:43:27Z,W20000039,W20000039,855,,,2009-07-06,
10,10,2017-11-29T13:43:27Z,W20000021,W20000021,857,,,2009-01-01,
9,9,2017-11-29T13:43:27Z,W20000022,W20000022,860,,,2009-01-01,
8,8,2017-11-29T13:43:27Z,W20000023,W20000023,861,,,2009-01-01,
7,7,2017-11-29T13:43:27Z,W20000024,W20000024,863,,,2009-01-01,
6,6,2017-11-29T13:43:27Z,W20000025,W20000025,864,,,2009-01-01,
5,5,2017-11-29T13:43:27Z,W20000038,W20000038,882,,,2009-04-01,
4,4,2017-11-29T13:43:27Z,W20000034,W20000034,890,,,2009-01-01,
2,2,2017-11-29T13:43:27Z,W20000036,W20000036,896,,,2009-01-01,
1,1,2017-11-29T13:43:27Z,W20000037,W20000037,897,,,2009-01-01,
