index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-unitary-authority-wls","principal-local-authority",start-date,end-date
26,26,2017-08-04T14:52:40Z,W06000024,W06000024,MTY,2009-06-01,
25,25,2017-08-04T14:52:40Z,W06000023,W06000023,POW,2009-06-01,
24,24,2017-08-04T14:52:40Z,W06000022,W06000022,NWP,2009-01-01,
23,23,2017-08-04T14:52:40Z,W06000021,W06000021,MON,2009-01-01,
22,22,2017-08-04T14:52:40Z,W06000020,W06000020,TOF,2009-01-01,
21,21,2017-08-04T14:52:40Z,W06000019,W06000019,BGW,2009-01-01,
20,20,2017-08-04T14:52:40Z,W06000018,W06000018,CAY,2009-01-01,
19,19,2017-08-04T14:52:40Z,W06000017,W06000017,MTY,2009-01-01,2009-05-31
18,18,2017-08-04T14:52:40Z,W06000016,W06000016,RCT,2009-01-01,2009-12-31
16,16,2017-08-04T14:52:40Z,W06000015,W06000015,CRF,2009-01-01,
15,15,2017-08-04T14:52:40Z,W06000014,W06000014,VGL,2009-01-01,2012-12-31
13,13,2017-08-04T14:52:40Z,W06000013,W06000013,BGE,2009-01-01,
12,12,2017-08-04T14:52:40Z,W06000012,W06000012,NTL,2009-01-01,
11,11,2017-08-04T14:52:40Z,W06000011,W06000011,SWA,2009-01-01,
10,10,2017-08-04T14:52:40Z,W06000010,W06000010,CMN,2009-01-01,
9,9,2017-08-04T14:52:40Z,W06000009,W06000009,PEM,2009-01-01,
8,8,2017-08-04T14:52:40Z,W06000008,W06000008,CGN,2009-01-01,
7,7,2017-08-04T14:52:40Z,W06000007,W06000007,POW,2009-01-01,2009-05-31
6,6,2017-08-04T14:52:40Z,W06000006,W06000006,WRX,2009-01-01,
5,5,2017-08-04T14:52:40Z,W06000005,W06000005,FLN,2009-01-01,
4,4,2017-08-04T14:52:40Z,W06000004,W06000004,DEN,2009-01-01,
3,3,2017-08-04T14:52:40Z,W06000003,W06000003,CWY,2009-01-01,
2,2,2017-08-04T14:52:40Z,W06000002,W06000002,GWN,2009-01-01,
1,1,2017-08-04T14:52:40Z,W06000001,W06000001,AGY,2009-01-01,
